Model,Sales_in_thousands,year_resale_value,Engine_size,Horsepower,Wheelbase,Curb_weight,Fuel_capacity,Fuel_efficiency,PC1,PC2,x,y,attributes,MDS1,MDS2,cluster
Ford Crown Victoria,63.4,14.2,4.6,200,114.7,3.9,19,21,-1.387340299,0.314983174,,,,5.223427359,1.288142004,0
Ford Explorer,276.7,16.6,4,210,111.6,3.9,21,19,-1.523981986,1.699807391,,,,149.4720769,-155.3939324,1
Ford Windstar,155.8,13.2,3,150,120.7,3.8,26,21,-1.361725884,2.182687422,,,,27.99370724,-101.4855733,1
Ford Expedition,125.3,23.6,4.6,240,119,4.8,26,16,-3.708014981,0.888138242,,,,77.1178274,-19.80225252,0
Ford Ranger,220.7,7.9,2.5,119,117.5,3.1,20,23,0.489479569,2.540478042,,,,44.13173103,-171.2628927,1
Ford F-Series,540.6,15.1,4.6,220,138.5,4.2,25.1,18,-3.552018407,5.170080913,,,,325.6186534,-353.3475817,1
Honda Civic,199.7,9.9,1.6,106,103.2,2.3,11.9,32,3.688698537,1.183645786,,,,18.80299327,-164.01812,1
Honda Accord,230.9,13.2,2.3,135,106.9,2.9,17.1,27,1.640869418,1.571005385,,,,62.51303967,-168.5265665,1
Honda CR-V,73.2,17.7,2,146,103.2,3.2,15.3,24,1.488681367,0.060504055,,,,-30.85526207,-41.15814304,0
Honda Passport,12.9,17.5,3.2,205,106.4,3.9,21.1,19,-1.009972677,-0.338423691,,,,-24.08254582,43.76743965,0
Honda Odyssey,76,19.5,3.5,210,118.1,4.3,20,23,-1.389620413,0.575499853,,,,21.91835285,-1.641512561,0
Hyundai Accent,41.2,5.9,1.5,92,96.1,2.2,11.9,31,4.093064116,-0.082860138,,,,-94.29570688,-51.69991277,0
Hyundai Elantra,66.7,7.8,2,140,100.4,2.6,14.5,27,2.503210461,0.086271885,,,,-40.7892392,-40.39242009,0
Hyundai Sonata,29.5,8.9,2.4,148,106.3,3.1,17.2,25,1.254215155,0.213677822,,,,-57.61296178,-6.808597203,0
Infiniti I30,23.7,19.7,3,227,108.3,3.3,18.5,25,0.085981692,-0.633664088,,,,0.263750615,49.19395655,2
Jaguar S-Type,15.5,0,3,240,114.5,3.7,18.4,21,-0.663247142,0.349372882,,,,6.807562994,63.67621805,2
Jeep Wrangler,55.6,13.5,2.5,120,93.4,3,19,17,0.942936376,-0.139475465,,,,-63.59039786,-44.89096642,0
Jeep Cherokee,80.6,13.8,4,190,101.4,3.2,20,20,-0.32043379,-0.180380431,,,,7.722764293,-18.70011319,0
Jeep Grand Cherokee,157,18.8,4,195,105.9,3.9,20.5,19,-1.186846119,0.544853602,,,,61.44531731,-73.13447946,1
Lexus ES300,24.1,27,3,210,105.1,3.4,18.5,23,-0.021145149,-0.906735252,,,,-12.36426299,39.36370296,0
Lexus GS300,12.7,32.1,3,225,110.2,3.6,19.8,23,-0.62983034,-0.903928669,,,,-7.712482673,58.72718857,2
Lexus GS400,3.3,0,4,300,110.2,3.7,19.8,21,-1.397473315,-0.458842621,,,,54.75716577,105.3840337,2
Lexus LS400,6.4,40.4,4,290,112.2,3.9,22.5,22,-2.15227553,-1.538418731,,,,36.45069654,107.1393967,2
Lexus LX470,9.1,0,4.7,230,112.2,5.4,25.4,15,-3.617069378,0.662752045,,,,-9.586537156,65.25354332,2
Lexus RX300,51.2,0,3,220,103,3.9,17.2,21,-0.10965862,0.099302332,,,,13.72440839,21.61835457,0
Lincoln Continental,13.8,20.5,4.6,275,109,3.9,20,22,-1.701022033,-1.048490489,,,,30.37718178,87.59051099,2
Lincoln Town car,48.9,21.7,4.6,215,117.7,4.1,19,21,-1.802671768,0.041329939,,,,8.35263408,22.41086359,0
Lincoln Navigator,22.9,0,5.4,300,119,5.4,30,15,-5.058362889,0.751719865,,,,66.00647874,90.57801808,2
Mercedes-B C-Class,18.4,26.1,2.3,185,105.9,3.3,16.4,26,0.954221781,-0.742594539,,,,-35.95360888,27.99255959,0
Mercedes-B E-Class,27.6,41.5,3.2,221,111.5,3.8,21.1,25,-0.909249769,-0.988393911,,,,3.459689237,45.77709655,2
Mercedes-B S-Class,16.8,50.4,4.3,275,121.5,4.1,23.2,21,-2.936226609,-1.177048417,,,,40.6541001,89.04809052,2
Mercedes-B SL-Class,3.3,58.6,5,302,99,4.1,21.1,20,-2.469753878,-3.141432398,,,,39.90436936,125.7154939,2
Mercedes-B SLK,8,0,2.3,190,94.5,3.1,15.9,26,1.811806265,-0.605998757,,,,-46.13338823,38.24592181,0
Mercedes-B SLK230,1.5,0,2.3,185,94.5,3,14,27,2.205653375,-0.727305746,,,,-53.51618091,39.70094612,0
Mercedes-B CLK Coupe,11.6,0,3.2,215,105.9,3.2,16.4,26,0.759851804,-0.220885261,,,,-19.63366819,51.21337957,0
Mercedes-B CL500,1,0,5,302,113.6,4.1,23.2,20,-2.647154814,-0.218138146,,,,56.30466636,108.0695954,2
Mercedes-B M-Class,29,0,3.2,215,111,4.4,19,20,-1.080441631,0.553098479,,,,-4.483991931,35.35942356,0
Nissan Sentra,42.6,8.5,1.8,126,99.8,2.6,13.2,30,3.104312753,-0.105259018,,,,-67.10632384,-30.92967785,0
Nissan Altima,88.1,11.3,2.4,155,103.1,3,15.9,25,1.514225596,0.251325585,,,,-14.63794069,-46.80385945,0
Nissan Maxima,79.9,15.1,3,222,108.3,3.3,18.5,25,0.16406779,-0.03847146,,,,32.00033438,2.572523003,0
Nissan Quest,27.3,15.4,3.3,170,112.2,4,20,21,-0.794759013,0.32649445,,,,-41.02371875,9.703729238,0
Nissan Pathfinder,42.6,17.8,3.3,170,106.3,3.9,21,19,-0.824778521,0.078689261,,,,-31.05824331,-1.96473529,0
Nissan Xterra,54.2,0,3.3,170,104.3,3.8,19.4,18,-0.424570661,0.602012422,,,,-25.1277625,-12.49781762,0
Nissan Frontier,65,0,3.3,170,116.1,3.2,19.4,18,-0.474164455,1.216930513,,,,-16.67149979,-20.54149261,0
Porsche Boxter,9,41.3,2.7,217,95.2,2.8,17,22,0.745492114,-2.213981859,,,,-23.59165825,62.96307717,2
Porsche Carrera Coupe,1.3,60.6,3.4,300,92.6,3,17,21,-0.354836861,-3.709905664,,,,34.90443656,128.1178088,2
Porsche Carrera Cabrio,1.9,67.6,3.4,300,92.6,3.1,17,23,-0.302781781,-3.95508505,,,,33.94332681,131.3428699,2
Subaru Outback,47.1,0,2.5,165,103.5,3.4,16.9,25,1.142902472,0.4064893,,,,-34.47754645,-10.45414804,0
Subaru Forester,33,0,2.5,165,99.4,3.1,15.9,24,1.50950644,0.000995667,,,,-44.84956526,0.254846866,0
Toyota Corolla,142.5,10,1.8,120,97,2.4,13.2,33,3.651699069,0.377673311,,,,-7.435674954,-111.6594423,1
Toyota Camry,248,13.2,2.2,133,105.2,3,18.5,27,1.541137928,1.705606853,,,,71.72712329,-183.0337792,1
Toyota Avalon,63.8,18.1,3,210,107.1,3.4,18.5,26,0.280160473,-0.23424203,,,,12.68465517,7.44851013,0
Toyota Celica,33.3,15.4,1.8,140,102.4,2.4,14.5,31,2.939890699,-0.356160281,,,,-62.23895848,-14.84709642,0
Toyota Tacoma,84.1,9.6,2.4,142,103.3,2.6,15.1,23,1.763590295,0.301298114,,,,-27.11287102,-52.08941409,0
Toyota Sienna,65.1,0,3,194,114.2,3.8,20.9,22,-0.60947033,1.116464946,,,,1.25448058,-5.512880781,0
Toyota RAV4,25.1,13.3,2,127,94.9,2.7,15.3,27,2.582900375,-0.559381394,,,,-78.0074196,-16.67229943,0
Toyota 4Runner,68.4,19.4,2.7,150,105.3,3.4,18.5,23,0.528912725,0.138937176,,,,-30.50191846,-34.83306186,0
Toyota Land Cruiser,9.8,34.1,4.7,230,112.2,5.1,25.4,15,-3.767303354,-0.580215137,,,,-4.656076921,65.91665154,2
Volvo S40,17,0,1.9,160,100.5,3,15.8,25,1.901476186,0.032733052,,,,-59.27837753,10.36316202,0
Volvo V40,3.5,0,1.9,160,100.5,3,15.8,25,1.901336566,-0.063184309,,,,-68.20823103,20.87640022,0
Volvo S70,15.2,0,2.4,168,104.9,3.2,17.9,25,1.136572459,0.258838029,,,,-54.1201547,16.75499377,0
Volvo V70,17.5,0,2.4,168,104.9,3.3,17.9,25,1.070027521,0.291893885,,,,-52.58369148,14.91971725,0
Volvo C70,3.5,0,2.3,236,104.9,3.6,18.5,23,0.242485907,-0.163930972,,,,-10.19997704,72.92824022,2
Volvo S80,19,0,2.9,201,109.9,3.6,21.1,24,-0.147807369,0.477011777,,,,-24.29768365,34.32930198,0
